Aircraft_Type,RECAT-EU,Aircraft_OEW,Aircraft_ZFW,Aircraft_MTOW,Aircraft_MaxRange
A359,CAT-B,135000,157932,280000,8350
A332,CAT-B,120000,139510,242000,6650
A333,CAT-B,122000,142166,242000,6000
B772,CAT-B,138000,159840,297000,7000
B773,CAT-B,167800,194590,351500,6450
B77L,CAT-B,145000,166840,347500,9400
B77W,CAT-B,167800,183234,351500,7900
A388,CAT-A,277000,317404,560000,8000
A343,CAT-B,130000,151840,276500,7250
A345,CAT-B,172000,194786,371950,9000
A346,CAT-B,181000,207936,368000,7600
B744,CAT-A,183500,213785,396890,7300
B748,CAT-A,220128,249976,442250,7800
B788,CAT-B,119000,137054,228000,7640
B789,CAT-B,128000,149112,254000,7600
A306,CAT-C,83000,103384,171000,4100
A30B,CAT-C,82000,100200,164000,3900
A310,CAT-C,88000,108384,164000,5100
B703,CAT-C,66360,80119,151320,4200
B752,CAT-C,58650,73210,116000,3900
B753,CAT-C,64000,81690,123600,3500
B762,CAT-C,87840,101017,179170,5400
B763,CAT-C,95000,110870,187000,6100
B764,CAT-C,103000,120836,204000,6250
B783,CAT-C,120000,141112,227930,4000
MD11,CAT-C,148000,169330,286000,7270
T204,CAT-C,58000,73893,103000,5800
A318,CAT-D,39400,47498,68000,3100
A319,CAT-D,40800,50941,75500,3750
A320,CAT-D,42600,55087,78000,3300
A321,CAT-D,48500,62501,93500,3500
A19N,CAT-D,44000,56109,79000,3800
A20N,CAT-D,44300,57922,79000,1800
A21N,CAT-D,50000,65590,97000,4000
B736,CAT-D,38300,46625,62000,2600
B737,CAT-D,41500,50884,79000,3100
B738,CAT-D,41400,54644,79000,3200
B739,CAT-D,44100,58404,80000,3100
B37M,CAT-D,43400,56871,81500,3600
B38M,CAT-D,45000,58471,82000,3550
B39M,CAT-D,45900,61036,83000,3700
B3XM,CAT-D,46600,64006,83000,3750
BCS1,CAT-D,42000,52217,69400,3700
BCS3,CAT-D,44400,56509,79000,3900
MD81,CAT-D,36000,47730,65000,1550
MD82,CAT-D,36200,47930,65000,1500
MD83,CAT-D,37000,48730,67000,2500
MD87,CAT-D,35000,44838,63000,2200
MD88,CAT-D,38000,49730,68000,2000
MD90,CAT-D,40500,52609,76000,2500
AT43,CAT-E,11350,14983,18600,800
AT45,CAT-E,12500,16284,18600,850
AT72,CAT-E,13500,18798,23000,950
AT76,CAT-E,13500,19100,23000,950
B712,CAT-D,40000,48855,60000,1800
B732,CAT-D,27700,37538,52000,2500
B733,CAT-D,32200,42568,58000,2700
B734,CAT-D,33800,44849,68000,2700
B735,CAT-D,34700,43933,60000,2600
CL60,CAT-D,10700,11608,21950,4000
CRJ1,CAT-E,17000,20784,23800,950
CRJ2,CAT-E,17200,20984,24000,1000
CRJ7,CAT-E,19000,24298,34000,2000
CRJ9,CAT-E,21000,27811,38330,2200
DH8D,CAT-E,17700,23603,29000,1200
E135,CAT-E,10600,13400,20100,1550
E145,CAT-E,11500,15284,21700,1600
E170,CAT-E,22170,27165,36800,2000
E175,CAT-E,22200,27952,40000,2000
E190,CAT-E,28500,35765,51800,2300
E195,CAT-E,28500,37582,52290,2400
F70,CAT-E,23180,29234,41500,2200
F100,CAT-E,24840,33089,45600,2400
GLF4,CAT-E,16800,17860,33500,4200
RJ85,CAT-E,23500,29933,42190,1600
RJ1H,CAT-E,26400,33968,47000,1800
C56X,CAT-F,9800,10405,8700,2000
E290,CAT-D,30000,38325,56400,2600
