Country,country_code_adep,UtcToLocalTime_Offset
Iceland,BI,+0
Algeria,DA,+1
Canary_Islands,GC,+1
Ireland,EI,+1
Morocco,GM,+1
Portugal,LP,+1
Tunisia,DT,+1
United_Kingdom,EG,+1
Albania,LA,+2
Austria,LO,+2
Belgium,EB,+2
Bosnia_and_Herzegovina,LQ,+2
Croatia,LD,+2
Czech_Republic,LK,+2
Denmark,EK,+2
Egypt,HE,+2
France,LF,+2
Germany,ED,+2
Hungary,LH,+2
Italy,LI,+2
Kosovo,BK,+2
Luxembourg,EL,+2
Malta,LM,+2
Monaco,LN,+2
Montenegro,LY,+2
Netherlands,EH,+2
North_Macedonia,LW,+2
Norway,EN,+2
Poland,EP,+2
Serbia,LY,+2
Slovakia,LZ,+2
Slovenia,LJ,+2
Spain,LE,+2
Sweden,ES,+2
Switzerland,LS,+2
Bulgaria,LB,+3
Cyprus,LC,+3
Estonia,EE,+3
Finland,EF,+3
Greece,LG,+3
Israel,LL,+3
Latvia,EV,+3
Lebanon,OL,+3
Lithuania,EY,+3
Moldova,LU,+3
Romania,LR,+3
Turkey,LT,+3
Ukraine,UK,+3
Armenia,UD,+4
Azerbaijan,UB,+4
Georgia,UG,+4
